schema_table,description
reg_land_and_natural_resource.wld_caribou_iicha_car_sp,"The Itcha Ilgachuz Caribou Habitat Area (IICHA) and associated quadrants were developed as a part of the 2002 Northern Caribou Strategy with revisions in 2011. The boundary is based on caribou telemetry to 2011 and is used to form the outer boundary of the quadrants that are used to help determine the rate of cut within WHA 5-086."
whse_wildlife_management.crims_kelp_beds,null
whse_fish.fiss_fish_obsrvtn_pnt_sp,"FISS FISH OBSRVTN PNT SP is an instantiated POINT layer of FISS_FISH_OBSERVATIONS_VW from the FISS operational system.  It is spatially-enabled using the UTM fields upon data load (FME).  It records direct observations of fish or summaries of direct observations ."
reg_land_and_natural_resource.fish_kokanee_hab_zones_ok_sp,"Shore Spawning Kokanee Sensitivity Zones for Okanagan large lakes. The purpose of these data are to support the Okanagan Large Lakes Foreshore Protocol which provides direction to proponents and qualified professionals on requirements for provincial natural resource applications based on the environmental sensitivity of a site and the risk of the foreshore development activity. The data were sourced from annual shore spawning kokanee surveys."
reg_land_and_natural_resource.fish_kokanee_spawn_ok_sp,null
whse_imagery_and_base_maps.gsr_med_laboratory_services_sv,"GSR_MED_LABORATORY_SERVICES_SV is a spatially enabled layer comprising"
whse_human_cultural_economic.cen_prof_cd_occupation_sv,
whse_human_cultural_economic.cen_prof_csd_occupation_sv,
whse_human_cultural_economic.bcha_chsa_labour_status_sv,"Labour force status by persons aged 15 and over by sex labour force status work activity and class of worker (25% sample data)."
whse_human_cultural_economic.cen_prof_cd_labour_sv,
whse_human_cultural_economic.cen_prof_csd_labour_sv,
whse_human_cultural_economic.cen_prof_cd_industry_sv,
whse_human_cultural_economic.cen_prof_csd_industry_sv,
whse_fish.fiss_lake_surveys_svw,"FISS_LAKE_SURVEYS_SVW contains physical and chemical data collected from lake surveys implemented in a spatial context."
whse_mineral_tenure.mta_federal_transfer_lands_svw,"Federal Transfer of Administration and Control data from Tantalis that is used by the Mineral Titles Branch for web mapping purposes."
whse_water_management.wls_licence_with_parcels_isp,"LICENCE WITH PARCEL  ISP is an instantiation layer of WHSE_WATER_MANAGEMENT.WLS_LICENCE_WITH_PARCELS_SVW. Its joins between tables LICENCE_PID  and WHSE_CADASTRE.CBM_INTGD_CADASTRAL_FABRIC_SP. It represents license to divert and use water. This is a multi part polygon layer."
whse_basemapping.trim_ebm_landforms,null
whse_basemapping.trim_ebm_landmarkstructures,null
whse_basemapping.sii_landsat_acqs_date_area_svw,null
reg_land_and_natural_resource.wld_caribou_lu_subdiv_car_sp,"Landscape Units (Subdivisions) were developed as a part of the 2002 Northern Caribou Strategy and are used for landscape level planning within Wildlife Habitat Area 5-086."
whse_land_use_planning.rmp_landscape_unit_svw,"WHSE_LAND_USE_PLANNING.RMP_LANDSCAPE_UNIT_SVW is a selection of the layer RMP_LANDSCAPE_UNIT_SP where the RETIREMENT DATE is null. Landscape Units (LUs) are spatially identified area of land and/or water used for long-term planning of resource management activities.  Landscape Units are important for designing strategies and objectives to maintain landscape level biodiversity and for managing other forest resources.  Landscape Units are also used to initiate landscape unit plans which provide direction on biodiversity old growth forest retention wildlife habitat maintenance and timber harvesting.  Landscape Units may also be used as planning zones for other stakeholders in addition to forest licensees and MOFR."
whse_human_cultural_economic.cen_prof_cd_languages_sv,
whse_human_cultural_economic.cen_prof_csd_languages_sv,
reg_land_and_natural_resource.leading_group_car_poly,null
whse_land_use_planning.rmp_plan_legal_line_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_LINE_SVW is a selection of the layer RMP_PLAN_LEGAL_LINE where the RETIREMENT DATE is null. Legal Line Objectives are spatially identified lines on land and/or water that have been mapped for specific land and/or resource uses as determined from strategic land and resource planning processes in the province of British Columbia.  Legal objectives can encompass objectives developed and grandfathered under the now repealed Forest Practices Code legislation (including Higher level Plans) as well as new and existing objectives developed through the Land Use Objectives Regulation and the Land Act to support FRPA implementation."
whse_land_use_planning.rmp_plan_legal_point_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POINT_SVW is a selection of the layer RMP_PLAN_LEGAL_POINT where the RETIREMENT DATE is null. Legal Point Objectives are spatially identified points on land and/or water that have been mapped for specific land and/or resource uses as determined from strategic land and resource planning processes in the province of British Columbia.  Legal objectives can encompass objectives developed and grandfathered under the now repealed Forest Practices Code legislation (including Higher level Plans) as well as new and existing objectives developed through the Land Use Objectives Regulation and the Land Act to support FRPA implementation."
whse_land_use_planning.rmp_plan_legal_poly_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW is a selection of the layer RMP_PLAN_LEGAL_POLY where the RETIREMENT DATE is null. Legal Polygon Objectives are spatially identified areas of land and/or water that have been mapped and zoned for specific land and/or resource uses as determined from strategic land and resource planning processes in the province of British Columbia.  Legal objectives can encompass objectives developed and grandfathered under the now repealed Forest Practices Code legislation (including Higher level Plans) as well as new and existing objectives developed through the Land Use Objectives Regulation and the Land Act to support FRPA implementation."
whse_legal_admin_boundaries.abms_lgl_admin_area_locs_svw,"ABMS_LGL_ADMIN_AREA_LOCS_SVW contains specific legally defined administrative boundary locations in the Province of British Columbia. This layer does not contain multipart features."
whse_water_management.wls_pod_licence_sources_sp,"POD LICENCE SOURCES is a province-wide SDE layer displaying water points of diversion on licenced springs joined with licence information. This layer is a spatially de-normalized version of WLS_POD_LICENCE_SOURCES_SVW."
whse_wildlife_management.waa_ltd_hnt_zone_curr_year_svw,"Current Limited Entry Hunting (LEH) Zones are current hunting opportunities created via a \"lottery\". Participation in the Limited Entry Hunting Zones draw is available to any resident of BC who legally possesses a BC Resident Hunter Number. The purpose of Limited Entry Hunting Zones layer is to achieve wildlife management objectives without resorting to such measures as shortening seasons or completely closing areas. It is only introduced where it has become necessary to limit the number of hunters limit the number of animals that may be taken or limit the harvest to a certain \"class\" of animal. This is a multipart feature class."
whse_water_management.gw_water_wells_lithology_sp,"The lithology intervals for all groundwater wells in BC which have lithology recorded."
whse_legal_admin_boundaries.adm_livestock_at_lrg_areas_sp,"In British Columbia there are over 100 Livestock Districts Bull Control Areas and Pound Districts established by regulation under the Livestock Act. Livestock Districts with minor exceptions are areas where livestock may run at large within the district boundaries. Bull Control Areas are areas within Livestock District in which Bull Control Committees may make rules respecting the number breed breeding quality and age of bulls allowed to run at large. Pound Districts are areas where keepers peace officers and others may impound animals at large and allow for the sale of unclaimed impounded animals and the reimbursement of the keeper. The polygons in this dataset are spatial representations of Livestock Districts Bull Control Areas and Pound Districts. The regulations establishing the Livestock Districts Bull Control Areas and Pound Districts should be consulted to determine the specific legal boundaries of each area or district. The regulations are published in the British Columbia Gazette Part II. The current Index of Current B.C. Regulations provides a complete list. Search Orders in Council from BCLaws.ca to view related Orders in Council including metes and bounds descriptions."
whse_admin_boundaries.ebc_local_governments_sp,null
whse_imagery_and_base_maps.gsr_local_govt_offices_sv,"GSR_LOCAL_GOVT_OFFICES_SV is a spatially enabled layer comprising Civic Government Offices. Civic Government Offices is a point dataset identifying local government offices in British Columbia."
whse_admin_boundaries.bcha_local_health_area_sp,"Local Health Areas (LHA) are a mutually exclusive and exhaustive classification of the land area in BC used for administrative purposes for the Ministry of Health. These boundaries fall within the higher level geographic boundaries of the Health Service Delivery Areas (HSDA) and Health Authorities (HA)."
whse_legal_admin_boundaries.abms_local_trust_areas_sp,"ABMS_LOCAL_TRUST_AREAS_SP contains legally defined local trust area administrative boundary areas (subdivisions of the Islands Trust) in the Province of British Columbia. This spatial layer contains multipart features."
whse_basemapping.gba_local_reg_greenspaces_sp,"This dataset contains spatial and attribute information for local and regional greenspaces in British Columbia. Local and regional greenspaces are municipal or regional district lands designated by local government agencies and managed for public enjoyment ecosystem or wildlife values. Spatial boundaries were sourced from various Open Data Sources. Boundaries of parks defined by cadastral parcels were edge-matched to ParcelMap BC.  This spatial layer contains multipart polygons."
whse_imagery_and_base_maps.gsr_schools_postsecondary_svw,"GSR_SCHOOLS_POSTSECONDARY_SVW describes post Secondary Education Facilities offering education programs in British Columbia."
whse_wildlife_management.crims_loon_grebes,null
whse_reference.mascot_geodetic_control,null
whse_mineral_tenure.minfil_reserve,"MINFILE RESERVE describes the extent and volume of the reserve or resource contained within a mineral deposit described by its referenced MINFILE record."
whse_mineral_tenure.minfil_mineral_file,"MINFIL MINERAL FILE contains geological location and economic information on over 13900 metallic industrial mineral and coal occurrences in B.C.  A mineral occurrence depicts a body of rock containing or thought to contain ore minerals or potential ore minerals.  A geographic location depicts the most significant physical reference point to the mineralization. The database is used by government industry and academia for resource management land-use planning exploration and research."
whse_mineral_tenure.minfil_product,"MINFIL PRODUCT contains information about the production from a mineral occurrence referred to in the MINFILE table."
whse_mineral_tenure.mta_acquired_tenure_history_sp,"ACQUIRED TENURE HISTORY SP is a replication of the tenure history table from the operational production enviornment (MTA_SPATIAL.MTA_ACQUIRED_TENURE_HIST_POLY) which defines the spatial location of terminated mineral placer and coal tenures.  This is a multipart polygon layer."
whse_mineral_tenure.mta_acquired_tenure_svw,null
whse_mineral_tenure.mta_site_history_sp,"SITE HISTORY SP is a replication of MTA_SPATIAL.MTA_SITE_HIST_POLY (MEMPRD/Operational) that defines terminated areas within the province of British Columbia where mineral placer and coal claims are restricted.  This is a multipart polygon layer."
whse_mineral_tenure.mta_coal_grid_block_sp,"Blocks are the second finest level of the coal grid. A  block consists of 100 units divided into 10 rows by 10 columns. There are also 12 blocks in a group comprising 3 rows by 4 columns and labelled A to L"
whse_mineral_tenure.mta_coal_grid_group_sp,"Groups are the second coursest level of the coal grid and approximate 1:50000 NTS map sheets."
whse_mineral_tenure.mta_coal_grid_mapsheet_sp,"Mapsheets are the coursest level of the coal grid and approximate 1:250000 NTS map sheets."
whse_mineral_tenure.mta_coal_grid_unit_sp,"Units are the finest level of the coal grid. They are defined by UTM coordinates for their corners and the mid points of the four sides. a unit is the base building block for creating the coal grid. There are 100 units is a block 10 rows by 10 columns and numbered consecutively starting in the southease corner. The units are number 1 to 10 11 - 20 etc. always reading from right to left."
whse_mineral_tenure.mta_crown_grant_min_claim_svw,"This geographic dataset contains a subset of records from the Tantalis Survey Parcels that represent the spatial location of crown granted mineral claims issued between 1874 to 1957."
whse_mineral_tenure.mta_mining_division_svw,"MTA_MINING_DIVISION_SVW  holds administrative areas for historic mining divisions that were once used in the Province of British Columbia. These boundaries are no longer used for current administration; however they are necessary when submitting the title page of a Technical Work Report. They can also be used to reference historical records."
whse_mineral_tenure.mta_mineral_placer_grid_poly,"Mineral and placer grid polygon is the spatial location of the grid used for defining the boundary of mineral and placer titles. It also stores the coordinate points that define the grid of cells for cell exploration method of defining a tenure. The grid is defined by a set of universal transverse mercator map projection coordinates for the northeast corner of each unit. This layer contains singlepart polygons transferred on update from the acquired tenure spatial layer."
whse_mineral_tenure.mta_site_sp,"MTA_SITE_SP is a replication of MTA_SPATIAL.MTA_SITE_SVW (MEMPRD/Operational) that defines areas within the province of British Columbia where mineral placer and coal claims are restricted.  This feature class contains a detailed set of attributes."
whse_human_cultural_economic.mpi_econ_major_projects_point,"ECON MAJOR PROJECT POINT   is a spatial layer published quarterly that  lists all Economic (ECON) major projects that are proposed planned or underway in British Columbia. These are projects with a capital cost of at least $20 million each within the Lower Mainland and projects valued at $15 million or more apiece in the rest of B.C. This is a point layer."
whse_water_management.ssl_snow_mss_locs_sp,"Active and inactive manual snow course locations as part of the BC Snow Survey Network."
whse_basemapping.cwb_floodplains_bc_area_svw,null
whse_water_management.fldp_floodplain_proj_report_sp,"A FLOODPLAIN REPORT identifies the ACAT REPORT URL associated with a specific DRAWING NO and PROJECT NAME."
whse_basemapping.cwb_floodplains_limit_line_sp,"FLOODPLAINS LIMIT LINE SP spatial definition consists of lines representing the extent of the floodplain study area. This is necessary for liability purposes as the extent of the floodplain may go beyond the limit of the study. This layer will store line with FEATURE CODE =WA17101000 that make up the upstream of downstream limit of the floodplain study area.  This is not a multipart feature."
whse_wildlife_management.crims_marbled_murrelets,null
whse_wildlife_management.crims_marine_ecosection,null
whse_imagery_and_base_maps.gsr_mental_hlth_substce_use_sv,"GSR_MENTAL_HLTH_SUBSTCE_USE_SV is a spatially enabled layer comprising"
whse_basemapping.gba_meteorological_locs_sp,"METEOROLOGICAL LOCS SP describes meteorological observation stations that capture a variety of climatological and meteorological data. The data is an amalgamation of three datasets: the Meteorological Network (MN) data maintained by the Ministry of Environment's Environmental and Climate Monitoring's Air and Climate Branch (primary source) the Pacific Climate Impacts Consortium (PCIC) data (secondary source) and the Environment Canada (EC) climate station data (tertiary source)."
whse_mineral_tenure.minpot_mineral_potential,"Mineral_Potential is a seamless polygon coverage depicting the mineral resource assessment tracts defined during the 1992-1997 Mineral Potential project."
whse_admin_boundaries.adm_mining_regions_spg,"Administrative regional boundaries derived from the Natural Resource Regions."
whse_admin_boundaries.adm_msd_regional_boundaries_sp,"MSD REGIONAL BOUNDARY SP represents the regional boundaries that the Ministry of Social Development maintains. All service and regional offices belong to one of the regional boundaries. This layer is a multipart polygon feature."
whse_imagery_and_base_maps.mot_culverts_sp,"CULVERT SP  represents Culverts. A Culvert is a pipe (less than 3m in diameter) or half-round flume used to transport or drain water under or away from the road and/or Right of Way.  Culverts that are greater than or equal to 3m in diameter are stored in the MoT Bridge Structure Road Dataset.  It is a Point feature."
whse_admin_boundaries.tadm_mot_district_bndry_poly,null
whse_imagery_and_base_maps.mot_drainage_appliances_sp,"DRAINAGE APPLIANCE SP is an apparatus (that has not been described as a culvert) or earth works designed to facilitate the movement of water in a controlled manner.  Drainage Appliance includes some appliances/earth works that work in conjunction with culverts.  It is a Point feature."
whse_imagery_and_base_maps.mot_guardrails_sp,"GUARDRAIL SP represents Guardrails. A Guardrail is a barrier fastened to the end of a bridge abutment along the shoulder of a road or between travel lanes of opposing traffic.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_hwy_maintenance_class_sp,"HWY MAINTENANCE CLASS SP defines the Level of Service for maintenance of the road normally a function of the traffic usage type and traffic volume.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_highway_profiles_sp,"HIGHWAY PROFILE SP defines the number of through travel lanes including passing and truck lanes and whether the road is divided or not.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_hwy_reference_points_sp,"HWY REFERENCE POINT SP is a landmark that is a visibly recognizable feature used to describe and identify a point on the road (i.e. a reference point abstracted on the Highway and defined by a physical landmark such as an intersection).  HRP Landmarks are used in order to provide reference points relating to inventory item data.  It is a Point feature."
whse_imagery_and_base_maps.mot_landmark_km_inventory_sp,"LANDMARK KM INVENTORY SP  is used primarily to represent routes against which accident data and traffic counts are collected.  This method describes roads by a four number designation referred to as a segment (e.g. 0375).  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_linear_safety_features_sp,"LINEAR SAFETY FEATURE SP represents safety feature. A Linear Safety Feature is one of a number of various appliances/appurtenances that have been installed or constructed either alongside or as an integral part of the road infrastructure to reduce the severity or potential of accidents.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_railroad_crossings_sp,"RAILROAD CROSSING SP represents Railroad Crossings. A Railway Crossing is where the road surface is common to both the Railway Authority and the Ministry of Transportation Road Network; also includes overhead and under passes.  It is a Point feature."
whse_admin_boundaries.tadm_mot_regional_bndry_poly,null
whse_imagery_and_base_maps.mot_rest_areas_sp,"REST AREA SP represents developed Roadside area for the use of the traveling public which must contain a washroom and often has litter receptacles picnic tables and other facilities.  It is a Point feature."
whse_imagery_and_base_maps.mot_retaining_walls_sp,"RETAINING WALL SP represents Retaining Walls.  Retaining Wall is a structure designed to protect the road infrastructure by retaining materials on the fill side to prevent road bed slips and by retaining materials on the cut side to prevent the road surface from being covered by debris.  Retaining walls that are greater than or equal to 2m in height are stored in the MoT Bridge Structure Road dataset.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_road_features_invntry_sp,"ROAD FEATURE INVENTORY SP contains  all roads under the administration and control for which the Ministry has maintenance responsibility.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_road_structure_sp,"ROAD STRUCTURE SP represents the roads that the Structures are found on.  Structures include Bridges Culverts (greater than or equal to 3m diameter) Marine Retaining Walls (perpendicular height greater than or equal to 2m) Sign Bridges and Tunnels (includes Snowsheds).  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_safety_features_sp,"SAFETY FEATURE SP represents Safety Features. A Safety Feature is one of a number of various appliances/appurtenances that have been installed or constructed either alongside or as an integral part of the road infrastructure to reduce the severity or potential of accidents.  It is a Point feature."
whse_imagery_and_base_maps.mot_signs_sp,"SIGN SP represents Signs. A Sign is a lettered board message or other display which includes all regulatory warning guide informational advisory; construction and maintenance and route markers but excluding electronically controlled messages/displays.  It is a Point feature."
whse_imagery_and_base_maps.mot_special_lanes_sp,"SPECIAL LANE SP represents Spatial Lanes. A Special Lane defines the number of special lanes that are not defined as through travel lanes passing lanes or truck lanes which are described in the Highway Profile dataset.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_storm_sewers_sp,"STORM SEWER SP represents Storm Sewers. A Storm Sewer is an enclosed system of pipes or drains that divert water away from the road and/or Right of Way.  It also includes culverts that run under enclosed ditches.  It is a linear feature with measure values."
whse_imagery_and_base_maps.mot_road_surface_type_sp,"ROAD SURFACE TYPE SP  describes the type of surface of the road.  It is a linear feature with measure values."
whse_human_cultural_economic.bus_mobile_licence_agreemts_sp,"This spatial dataset illustrates the participation of local government jurisdictions in mobile business licence agreements. The dataset contains multipart polygon features."
reg_land_and_natural_resource.wld_goat_wintr_hab_prks_car_sp,"A mapped area of mountain goat winter habitat within existing Provincial Parks. These areas are not intended to be legalized but are generally adjacent to proposed and/or legalized mountain goat winter range (proposed/legalized under the authority of the Forest and Range Practices Act and the Forest Practices Code)."
reg_land_and_natural_resource.wld_mule_deer_hab_mg_zn_car_sp,"WLD MULE DEER HAB MG ZN CAR SP represents mule deer habitat management zones associated with mule deer winter range in the Cariboo Region. This is a polygon layer."
reg_land_and_natural_resource.wld_mule_deer_rng_topo_car_sp,null
whse_legal_admin_boundaries.abms_municipalities_sp,"ABMS_MUNICIPALITIES_SP contains legally defined municipal administrative boundary areas in the Province of British Columbia. This spatial layer contains multipart features."
reg_land_and_natural_resource.muskwa_kechika_access_line,
reg_land_and_natural_resource.fish_mussel_hab_zones_ok_sp,"Freshwater Mussel Sensitivity Zones for Okanagan large lakes. The purpose of these data are to support the Okanagan Large Lakes Foreshore Protocol which provides direction to proponents and qualified professionals on requirements for provincial natural resource applications based on the environmental sensitivity of a site and the risk of the foreshore development activity. The data were sourced from Rocky Mountain Ridge Mussel location data."
whse_legal_admin_boundaries.wcl_conservation_areas_ngo_sp,"This dataset contains spatial and attribute information for non-governmental organization (NGO) conservation areas in BC. Fee simple NGO conservation areas are private conservation lands owned by non-government organizations and managed for wildlife habitat conservation values. Overlap between this dataset and the provincial Conservation Lands and BC Parks Ecological Reserves and Protected Areas layers will occur where NGO lands have been leased to the province. Discrepancies between the provincial layers and this dataset are due to differing source cadastral information. Spatial boundaries were sourced primarily from Integrated Cadastral Information Society data. Spatial layer contains multipart polygons."
whse_basemapping.nts_250k_grid,null
whse_basemapping.nts_50k_grid,null
whse_basemapping.nts_bc_coastline_lines_125m,null
whse_basemapping.nts_bc_coastline_polys_125m,null
whse_basemapping.nts_bc_contour_lines_125m,null
whse_basemapping.nts_bc_manmade_lines_125m,null
whse_basemapping.nts_bc_manmade_points_125m,null
whse_basemapping.nts_bc_landcover_lines_125m,null
whse_basemapping.nts_bc_landform_lines_125m,null
whse_basemapping.nts_bc_landform_points_125m,null
whse_basemapping.nts_bc_riv_lake_wet_polys_125m,null
whse_basemapping.nts_bc_transport_lines_125m,null
whse_basemapping.nts_bc_transport_points_125m,null
whse_basemapping.nts_bc_water_lines_125m,null
whse_basemapping.nts_bc_water_points_125m,null
whse_water_management.gw_naquadat_station_sp,"NAQUADAT ( National Water Quality Data Bank)  STATION is Inventory of ambient water quality across Canada.  Part of ENVIRODAT database. Includes flow water depth and approximately 150 water quality parameters including nutrients metals pesticides and other organic contaminants. The spatial definition of NAQUADAT  STATION consists of points representing the ground water quality stations for chemistry data. The dataset  contains records from 700 stations located in the lower mainland covering the period 1954 to 1980. This is not a multipart feature."
whse_admin_boundaries.clab_national_parks,"This dataset provides the administrative boundaries of National Parks and National Park Reserves within the province of British Columbia. Administrative boundaries were compiled from Legal Surveys Division's cadastral datasets and survey records archived in the Canada Lands Survey Records. Canada Lands Administrative Boundaries (CLAB) were adjusted to match British Columbia's authoritative base mapping features. The Fresh Water Atlas (FWA) was used for streams rivers coastlines and height of land. The Integrated Cadastral Fabric (ICF) was used for parcel boundaries. Tantalis Cadastre was used where ICF parcels were not available."
whse_forest_vegetation.bec_natural_disturbance_sv,null
whse_forest_vegetation.range_natural_barrier_line_svw,"Holds information to identify  major classes of range improvements. Each class contains a barrier attributes the geometry and identification fo the specific type of the range barrier feature."
whse_admin_boundaries.adm_nr_areas_spg,"As of June 30 2014NR AREA SP is the spatial representation for a Natural Resource Area. An NR AREA is an amalgamation of all NR Regions within the supplied boundaries and acts as an administrative area to these regions as established by the Ministry."
whse_admin_boundaries.adm_nr_districts_spg,"NR DISTRICT SP is the spatial representation for a Natural Resource (NR) District that is an administrative area established by the Ministry within NR Regions.These Ministry of Forests (MOF) boundaries have changed from the boundaries captured in FADM DISTRICT REGION object due to the change in administrative areas due to downsizing in 2001. The SDE entity types allowed in this layer are multi-part polygons."
whse_admin_boundaries.adm_nr_regions_spg,"NR REGION SPG is a low-resolution \"generalized\" copy of NR REGION SP. The spatial representation for a Natural Resource (NR) Region that is an administrative area established by the Ministry within NR Areas. These boundaries designated by the Lieutenant Governor in council and published as regulations which establishes the Ministry's management areas. These boundaries have changed from the boundaries captured in FADM DISTRICT REGION object due to the change in administrative areas due to downsizing in 2001 from 6 to 3. The SDE entity types allowed in this layer are polygons (not multi-part)."
whse_land_use_planning.rmp_plan_non_legal_line_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_LINE_SVW is a selection of the layer RMP_PLAN_NON_LEGAL_LINE where the RETIREMENT DATE is null. Non Legal Planning line features are spatially identified lines on land and/or water that have been mapped for specific land and/or resource uses as determined through a strategic land and resource planning process. This layer represents non-legalized planning lines only thus the direction given within the planning designation is policy only and is not legally enforceable."
whse_land_use_planning.rmp_plan_non_legal_point_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POINT_SVW is a selection of the layer RMP_PLAN_NON_LEGAL_POINT where the RETIREMENT DATE is null. Non Legal Planning point features are spatially identified points on land and/or water that have been mapped for specific land and/or resource uses as determined through a strategic land and resource planning process. This layer represents non-legalized planning points only thus the direction given within the planning designation is policy only and is not legally enforceable."
whse_land_use_planning.rmp_plan_non_legal_poly_svw,"WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POLY_SVW is a selection of the layer RMP_PLAN_NON_LEGAL_POLY where the RETIREMENT DATE is null. Non Legal Planning Polygon Features are spatially identified areas of land and/or water that have been mapped and “zoned” for specific land and/or resource uses as determined through a strategic land and resource planning process. This layer represents non-legalized planning zonations only thus the direction given within the planning zone designation is policy only and is not legally enforceable."
reg_land_and_natural_resource.non_productive_forest_car_poly,null
whse_water_management.wls_non_trim_fldarea_lines_sp,"NON TRIM FLDAREA LINES SP is a  line feature class delineating  land permanently flooded by natural causes (e.g. landslides etc.) or by the work of animals (beavers etc.) or man. This is not a multipart feature class."
whse_water_management.wls_non_trim_hydrgrph_line_svw,null
reg_land_and_natural_resource.wld_ncar_hab_itcha_ilgachuz_sp,"WLD NCAR HAB ITCHA ILGACHUZ SP represents 1:50000 habitat mapping for northern caribou in the Itcha and Ilgachuz Mtn. Areas circa 1986. This is a polygon layer."
reg_land_and_natural_resource.nogo_forage_suit_car_poly_sp,"This hexagonal polygon dataset identifies potential suitable foraging habitat for Northern Goshawk (NOGO) within the Cariboo Natural Resource Region."
reg_land_and_natural_resource.nogo_nest_suit_car_poly_sp,"This hexagonal polygon dataset identifies potential suitable nesting habitat for Northern Goshawk (NOGO) within the Cariboo Natural Resource Region."
whse_mineral_tenure.hsp_notice_of_work_pa_point_sv,null
whse_basemapping.trim_ebm_ocean,null
whse_environmental_monitoring.nrc_qc_basin_explrtn_potentls,null
whse_mineral_tenure.png_land_plats_sp,"Land Plats (LP) are the sole official record of where the Director of Petroleum Land recognizes a pool of hydrocarbons to exist for the purpose of administering oil and gas title.  To the extent an LP is identical to the rights held by a Lease that Lease is eligible under the PNG Act to have that portion of its rights extended beyond the original primary term.  The spatial boundaries of all LPs are defined so that they correspond exactly with the units of the PNG Grid or the quarter-sections of the Dominion Land Survey."
whse_mineral_tenure.png_tenure_areas_sp,"Tenure Areas (TA) are ad hoc geographic administrative areas named for local features and used to group petroleum and natural gas Land Plats situated within the same local geographic area.  Tenure Areas are assigned unique 4-digit numeric codes for reference."
reg_land_and_natural_resource.conserv_ranking_ok_sp,"This spatial layer contains the Okanagan Conservation Ranking Polygons which is part of the Okanagan Region Biodiversity Conservation Strategy (Keeping Nature in Our Future).  Okanagan Conservation Ranking Polygons classifies ecosystems into four relative conservation ranks:  low moderate high and very high. This is a multipart polygon feature."
whse_land_use_planning.rmp_ogma_legal_current_svw,"Legally established and spatially defined areas of old growth forest that are identified during landscape unit planning or an operational planning process.  Forest licensees are required to maintain legally established Old Growth Management Areas (OGMAs) when preparing FSPs.  OGMAs in combination with other areas where forestry development is prevented or constrained are used to achieve biodiversity targets. This spatial view will show the most current areas and exclude the sensitive information."
whse_land_use_planning.rmp_ogma_non_legal_current_svw,"Spatially defined areas of old growth forest that are identified during landscape unit planning or an operational planning process.  Forest licensees are not required to follow direction provided by non-legal Old Growth Management Areas (OGMAs) when preparing FSPs and may choose to manage required old growth biodiversity targets in other ways.  OGMAs in combination with other areas where forestry development is prevented or constrained are used to achieve biodiversity targets. This spatial view will show the most current areas and exclude the sensitive information."
whse_forest_vegetation.ogsr_tap_ancient_forest_sp,
whse_forest_vegetation.ogsr_tap_big_treed_og_sp,
whse_forest_vegetation.ogsr_tap_forst_assmt_lnd_bs_sp,
whse_forest_vegetation.ogsr_tap_seral_stage_sp,
whse_forest_vegetation.ogsr_tap_intact_watersheds_sp,
whse_forest_vegetation.ogsr_tap_og_forests_sp,
whse_forest_vegetation.ogsr_tap_prty_big_treed_og_sp,"A subset of the big-treed old growth layer showing the highest priority big-treed old growth. This dataset is the operational vector dataset converted from the original Old Growth Technical Advisory Panel (TAP) raster. "
whse_forest_vegetation.ogsr_tap_priority_def_area_sp,"The priority areas recommended for harvest deferral. This is a combination of prioritized big-treed old growth ancient forest and remnant old ecosystems. This dataset is the operational vector dataset converted from the original Old Growth Technical Advisory Panel (TAP) raster."
whse_forest_vegetation.ogsr_tap_recruitment_forest_sp,
whse_forest_vegetation.ogsr_tap_remnant_ecosystems_sp,
whse_forest_vegetation.ogsr_tap_swb_woodland_sp,
whse_imagery_and_base_maps.aimg_orthophoto_coverage_sp,"Polygon geometry representing the total provincial coverage of orthophoto imagery available for purchase. This dataset contains a multipart polygon."
whse_imagery_and_base_maps.aimg_orthophoto_tiles_point,"Annual layers of map tile centroid points and associated metadata representing orthophotos available for purchase."
whse_imagery_and_base_maps.aimg_orthophoto_tiles_poly,"Annual layers of map tile polygons and associated metadata representing orthophotos available for purchase. This dataset contains singlepart polygons."
whse_human_cultural_economic.bcha_chsa_shelter_spending_sv,"Owner and tenant household in private dwellings by shelter-cost-to-income ratio (25% sample data)."
